# Katagiri morph -> lexeme accuracy set (task A4c). 200 labelled UniDic morphs.
#
# Columns, tab-separated: lemma  reading  pos1  expected_jmdict_seq  note
#
#   lemma   UniDic's lemma field, verbatim - including the -disambiguator suffix
#           it appends to homograph lemmas (私-代名詞, コーヒー-coffee), which
#           katagiri.normalizer.unidic_lemma_form is expected to strip.
#   reading UniDic's lemma reading (lForm), katakana. Empty when UniDic gave none
#           (punctuation).
#   pos1    UniDic's coarsest part of speech.
#   expected_jmdict_seq
#           The JMdict ent_seq a human would point at, or EMPTY when the correct
#           answer is "no map" - punctuation and compounds JMdict does not list.
#           Every seq here was looked up in a real import of
#           vendor/jmdict/jmdict-eng-3.6.2.json.zip (218461 entries) and checked
#           against that entry's written forms, readings and glosses. None are
#           invented, and none were taken on trust from the matcher's own output.
#   note    "<category>: <comment>". The category is machine-read by the accuracy
#           harness to report a per-category breakdown; the comment says why the
#           row is interesting, and flags the rows whose lemma spelling was added
#           by hand rather than observed from the tokenizer.
#
# Matching is entry-level: a morph identifies a JMdict entry, not one of its
# senses, so nothing here labels a sense_idx. See katagiri.normalizer.
#
# Rows whose lemma is marked "hand-added" are spellings the vendored UniDic does
# not itself produce. They are real Japanese orthography and are here to exercise
# the okurigana rung, which natural UniDic output almost never reaches because
# JMdict already lists UniDic's preferred spelling as a variant.
lemma	reading	pos1	expected_jmdict_seq	note
御	ゴ	接頭辞	1270190	homograph: ご prefix, same kanji
何	ナニ	代名詞	1577100	homograph:
何	ナン	名詞	2846738	homograph: same kanji, reading decides
上手	ジョウズ	形状詞	1353320	homograph: vs 上手/うわて and 上手/かみて
本	ホン	名詞	1522150	homograph:
月	ツキ	名詞	1255430	homograph: vs 月/げつ
金	カネ	名詞	1242590	homograph: vs 金/きん
気	キ	名詞	1221520	homograph:
目	メ	名詞	1604890	homograph: vs 目/もく
後	アト	名詞	1269320	homograph: vs 後/のち and 後/ご
勉強	ベンキョウ	名詞	1512670	suru:
説明	セツメイ	名詞	1386460	suru:
会議	カイギ	名詞	1198360	suru:
参加	サンカ	名詞	1302090	suru:
準備	ジュンビ	名詞	1341670	suru:
練習	レンシュウ	名詞	1559160	suru:
成功	セイコウ	名詞	1375690	suru:
洗濯	センタク	名詞	1390980	suru:
紹介	ショウカイ	名詞	1351430	suru:
運転	ウンテン	名詞	1172830	suru:
研究	ケンキュウ	名詞	1258520	suru:
発表	ハッピョウ	名詞	1477840	suru:
卒業	ソツギョウ	名詞	1405890	suru:
心配	シンパイ	名詞	1360930	suru:
為る	スル	動詞	1157170	suru: UniDic's lemma for する
は	ハ	助詞	2028920	particle:
が	ガ	助詞	2028930	particle:
を	ヲ	助詞	2029010	particle:
に	ニ	助詞	2028990	particle:
で	デ	助詞	2028980	particle:
の	ノ	助詞	1469800	particle: headword 乃/之
も	モ	助詞	2028940	particle:
か	カ	助詞	2028970	particle:
から	カラ	助詞	1002980	particle:
まで	マデ	助詞	1525680	particle: headword 迄
です	デス	助動詞	1628500	particle:
だ	ダ	助動詞	2089020	particle:
た	タ	助動詞	2654250	particle: entry is not common
ます	マス	助動詞	2210290	particle: headword 〼; the ordinary verb 増す must be filtered out
て	テ	助詞	2654270	particle: conjunctive て; the quotative って/て 2086960 is common and outranks it
コーヒー-coffee	コーヒー	名詞	1049180	tricky: loanword; disambiguator -coffee; uk headword 珈琲
テレビ-television	テレビ	名詞	1080510	tricky: loanword; disambiguator -television
パソコン-personal computer	パソコン	名詞	1101570	tricky: disambiguator contains a space
インターネット-internet	インターネット	名詞	1022880	tricky:
コップ-kop	コップ	名詞	1050390	tricky: uk headword 洋杯; a rare kana-only homophone means 'police officer'
ズボン-jupon	ズボン	名詞	1074260	tricky: uk headword 洋袴; a rare kana-only homophone is an adverb
アメリカ-America	アメリカ	名詞	1149830	tricky: uk headword 亜米利加
円-助数詞	エン	名詞	1175570	tricky: disambiguator -助数詞 is a POS label, not a source word
枚	マイ	接尾辞	1524610	tricky: counter for flat objects
冊	サツ	接尾辞	1298520	tricky: counter for books
匹	ヒキ	接尾辞	1583370	tricky: counter for small animals
頭	トウ	接尾辞	1450690	tricky: counter for large animals; 頭/あたま is the common reading
羽	ワ	接尾辞	1607310	tricky: counter for birds
歳	サイ	接尾辞	1294940	tricky: counter for years of age
第	ダイ	接頭辞	1415260	tricky:
再	サイ	接頭辞	1292290	tricky:
不	フ	接頭辞	1922780	tricky:
。		補助記号		tricky: punctuation: no map is the correct answer
、		補助記号		tricky: punctuation: no map is the correct answer
決め直す	キメナオス	動詞		tricky: real UniDic lemma; the compound is not a JMdict entry
